O2;
150;200;250;500;1000;2000;3000;
0.002354;0.005341;0.010490;0.100919;1.167286;25.369896;69.804320;
0.002209;0.005142;0.010367;0.110435;1.362378;22.116464;69.338508;
0.002223;0.005209;0.010504;0.111055;1.240751;20.877520;69.968338;
0.002258;0.005394;0.010885;0.121578;1.256922;20.529758;69.143336;
0.002210;0.005094;0.010507;0.110796;1.124499;20.506986;68.709056;
0.002220;0.005182;0.010417;0.110916;1.177596;20.888181;68.909727;
0.002234;0.005204;0.010699;0.111174;1.110914;21.466205;69.300922;
0.002220;0.005730;0.010410;0.112502;1.123864;19.948871;168.091926;
0.002236;0.005261;0.010573;0.110573;1.131433;24.745790;180.180787;
0.002256;0.005150;0.010672;0.112331;1.162417;50.207281;190.144891;
O3;
150;200;250;500;1000;2000;3000;
0.002379;0.005968;0.010453;0.112154;1.268775;39.675156;183.152422;
0.002318;0.005164;0.010670;0.112808;1.067532;39.721841;189.149243;
0.002266;0.005216;0.010558;0.111697;1.168908;40.461430;189.532495;
0.002345;0.005218;0.010542;0.112569;1.070158;37.635686;188.700395;
0.002242;0.005155;0.010568;0.111767;1.078088;48.957270;179.712902;
0.002252;0.005227;0.010544;0.112500;1.071393;49.907921;188.774934;
0.002392;0.005141;0.010559;0.110705;1.062355;50.490458;188.325494;
0.002257;0.005173;0.010530;0.111590;1.096283;41.188559;187.863441;
0.002239;0.005157;0.010580;0.111873;1.075193;49.696629;188.758959;
0.002247;0.005260;0.010610;0.110878;1.068882;49.357264;188.953769;
