,150,200,250,500,1000,2000,3000,20000,100000,500000,1000000,50000000
0,0.000558,0.000556,0.000510,0.000475,0.000569,0.001434,0.001552,0.000626,0.000848,0.000825,0.000756,0.000781
1,0.000522,0.000446,0.000476,0.000448,0.000597,0.000685,0.000518,0.000694,0.001380,0.002320,0.000714,0.000775
2,0.000659,0.000591,0.000463,0.000576,0.001746,0.001103,0.000723,0.001657,0.001965,0.001001,0.000806,0.000868
3,0.000475,0.000490,0.000537,0.000512,0.000545,0.000452,0.000617,0.001112,0.001462,0.000590,0.000773,0.001351
4,0.000443,0.000449,0.000462,0.000454,0.000476,0.000491,0.000480,0.000535,0.000781,0.000714,0.000677,0.000681
5,0.000460,0.000471,0.000467,0.000486,0.000508,0.000561,0.000476,0.000483,0.000610,0.000653,0.000747,0.000771
6,0.000502,0.000506,0.000461,0.000521,0.000609,0.000514,0.000537,0.000605,0.000794,0.000736,0.000690,0.000803
7,0.000646,0.000521,0.000602,0.000569,0.000526,0.000489,0.000547,0.000503,0.000574,0.000624,0.000711,0.000869
8,0.000445,0.000485,0.000483,0.000453,0.000533,0.000471,0.000537,0.000640,0.000754,0.000716,0.000926,0.000797
9,0.000459,0.000466,0.000466,0.000513,0.000459,0.000507,0.000498,0.000578,0.000570,0.002083,0.000715,0.000878
